"Country","Region","Happiness.Score","Class","Mean.years.of.schooling","Carbon.Dioxide.Emissions.per.GDP","Change.Florest.Area","Gender.Inequality.Index","Child.malnutrition","Current.health.expenditure","Homicide.Rate","Net.migration.rate","Unemployment","Vulnerable.employment","Suicide.Rate","Contraceptive.prevalence","GDP.per.capita","Life.expectancy.at.birth","Median.age","Refugees.by.country.of.origin","Share.parliament.by.women"
"'Switzerland'"," 'WesternEurope'",7.587,2,13.1,0.08,9.3,0.047,NA,11.9,0.7,9.9,4.8,9,11.5,71.6,66162,83.1,42.2,0,28.9
"'Iceland'"," 'WesternEurope'",7.561,2,12.2,0.14,213.7,0.075,NA,8.2,0.9,-1.3,4,9.1,12.85,NA,51739,82.5,36,0,41.3
"'Denmark'"," 'WesternEurope'",7.527,2,12.5,0.13,14.7,0.044,NA,10.2,1.1,3.8,6.2,5.1,8.65,NA,53019,80.5,41.6,0,37.4
"'Norway'"," 'WesternEurope'",7.522,2,12.5,0.12,-0.1,0.054,NA,10.1,0.5,8.8,4.3,5.3,10.15,NA,61896,81.9,39.2,0,39.6
"'Canada'"," 'NorthAmerica'",7.427,2,13.2,0.37,-0.4,0.114,NA,10.5,1.7,7.1,6.9,10.6,10.55,NA,47770,82,40.4,0.1,28.3
"'Finland'"," 'WesternEurope'",7.406,2,12.7,0.2,1.8,0.063,NA,9.7,1.5,3,9.4,10,12.35,85.5,45073,81.2,42.5,NA,41.5
"'Netherlands'"," 'WesternEurope'",7.378,2,12.2,0.2,9.4,0.048,NA,10.3,0.6,0.7,6.9,13,9.65,73,53223,81.7,42.1,0.1,36.4
"'Sweden'"," 'WesternEurope'",7.364,2,12.4,0.09,0.8,0.045,NA,11,1.1,5.3,7.4,6.7,12.3,NA,51705,82.3,40.9,0,43.6
"'NewZealand'"," 'AustraliaandNewZealand'",7.286,2,12.4,0.2,5.1,0.149,NA,9.3,1,4,5.4,11.2,11.75,79.9,40467,81.7,37.3,0,31.4
"'Australia'"," 'AustraliaandNewZealand'",7.284,2,12.5,0.34,-2.8,0.11,2,9.3,1,8.6,6.1,10.9,12.25,66.9,48020,82.8,37.2,0,30.5
"'Israel'"," 'MiddleEastandNorthernAfrica'",7.278,2,12.9,0.24,26.7,0.114,NA,7.1,1.4,0.5,5.3,8,4.9,NA,37633,82.3,30.2,0.5,26.7
